NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=250 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=177 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=182 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=163 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=132 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=92 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=55 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=72 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=213 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=37 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=100 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=244 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=247 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=69 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=183 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=225 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=230 actions=output:2
